key,date,c_type,c_title,c_isn,c_isn_valid,c_publisher_std,c_publisher_major,c_apc_model,c_apc_value,c_apc_currency,c_indexing,e_type,e_date,t_update,t_regenerate,t_certainly,t_langmod,t_access,t_first_person,t_second_person,t_recent
andriivna2023,2023-09-18,Journal,Scientific Innovations and Advanced Technologies,2786-5274,Confirmed,NA,0,Full,85,USD,NA,NA,NA,0,0,1,0,0,0,0,0
anitha2024,2024-02-01,Journal,Clinical Chimica Acta,0009-8981,Confirmed,Elsevier,1,Hybrid,3330,USD,Scopus; Medline; Web of Science,NA,NA,1,0,0,0,0,1,0,0
ansari2024,2024-01-19,Journal,Waste Management Bulletin,2949-7507,Confirmed,Elsevier,1,Full,2000,USD,DOAJ,NA,NA,0,0,1,0,0,0,0,0
anusha2023,2023-07-20,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,1,0,0,1,1,1,0,1
arsh2024,2024-01-03,Journal,Annals of Medicine & Surgery,2049-0801,Confirmed,Wolters Kluwer,1,Full,1950,USD,PubMed Central; Web of Science; Scopus (discontinued),Corrigendum,2024-09-04,1,0,0,0,0,1,0,0
arun2023,2023-05,Journal,International Journal of Advances in Engineering and Management,2395-5252,Provisional,NA,0,Full,25,USD,NA,NA,NA,0,1,0,0,0,0,0,0
ashreetha2024,2024-02-25,Conference,International Conference on Emergent Converging Technologies and Biomedical Systems,978-981-9986-46-0,Confirmed,Springer,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
ashshiddiqi2023,2023-12-12,Journal,Jurnal Dialektika,2828-545X,Confirmed,NA,0,Full,350000,IDR,NA,NA,NA,0,0,1,0,0,0,0,0
avinash2023,2023-09-19,Journal,Journal of Population Therapeutics & Clinical Pharmacology,2561-8741,Confirmed,NA,0,Full,850,USD,Dimensions; Medline (discontinued); Web of Science; Scopus (discontinued); Embase,NA,NA,1,0,0,0,0,1,0,1
aygun2023,2023-06-30,Journal,Celal Bayar Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi,2147-9607,Confirmed,NA,0,None,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
aysara2023,2023-09-05,Journal,"American Journal of Language, Literacy and Learning in STEM Education",2993-2769,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
azevedo2024,2024-01-31,Journal,Contribuciones a las Ciencias Sociales,1988-7833,Confirmed,NA,0,Full,650,BRL,NA,NA,NA,0,1,0,0,0,0,0,0
babikian2018,2018-01-23,Journal,International Journal of Advanced Engineering Technologies and Innovations,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
bader2024,2024-03-08,Journal,Radiology Case Reports,1930-0433,Confirmed,Elsevier,1,Full,550,USD,DOAJ; Scopus; PubMed Central,Retraction,2024-05-02,0,0,0,1,1,1,0,0
bakhodirovna2024,2024-03-15,Conference,International Scientific and Practical Conference,None,No ISSN,NA,0,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
bakhtiyorovna2024,2024-03-11,Journal,European Journal of Business Startups and Open Society,2795-9228,Unreported record,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0
banerjee2023,2023-12-29,Conference,"International Conference on Smart Generation Computing, Communication and Networking",9798350319125,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0
batool2023,2023-10-30,Journal,Biological and Clinical Sciences Research Journal,2708-2261,Confirmed,NA,0,Full,180,USD,NA,NA,NA,1,0,0,0,1,1,0,0
battula2024,2024-04-17,Conference,International Conference on Cognitive Robitics and Intelligent Systems,9798350372748,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
baybekova2024,2024-02-29,Journal,"Eurasian Journal of Law, Finance and Applied Sciences",2181-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
baydjanova2024,2024-03-24,Journal,News of the NUUz,2181-7324,Confirmed,NA,0,Full,200000,UZS,NA,NA,NA,0,0,1,0,0,0,0,0
ben2023,2023-08-06,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
berrahal2023,2023-09-16,Conference,International Conference on Decision Aid Sciences and Applications,9798350342055,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,0
besekar2023,2023-08,Journal,International Journal of Novel Research and Development,2456-4184,Confirmed,NA,0,Full,59,USD,NA,NA,NA,0,0,1,0,0,0,0,0
bhagyamma2023,2023-08-28,Journal,Law and Social Policy Review,2583-8180,Provisional,NA,0,Full,350,INR,NA,NA,NA,1,0,0,0,0,1,0,0
bhardwaj2023,2023-07-15,Journal,"International Journal of Fine, Performing and Visual Arts",3006-6581,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
bhattacharjee2024,2024,Journal,International Journal of Social Impact,2455-670X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
bhole2023,2023-10-01,Journal,Bioorganic Chemistry,0045-2068,Confirmed,Elsevier,1,Hybrid,4100,USD,Scopus; Medline; Web of Science,NA,NA,1,0,0,0,0,1,0,1
bhomia2019,2019,Journal,The Pharma Innovation Journal,2277-7695,Confirmed,NA,0,Full,75,USD,NA,NA,NA,1,0,0,0,0,1,0,0
bhushan2023,2023,Journal,Russian Law Journal,2309-8678,Confirmed,NA,0,None,NA,NA,Scopus (discontinued); Web of Science,NA,NA,1,0,0,0,0,1,0,0
bimba2024,2024-03-26,Journal,International Journal of Intelligent Systems and Applications in Engineering,2147-6799,Confirmed,NA,0,Full,600,USD,Scopus,NA,NA,1,0,0,0,0,1,0,0
bird2019,2019-01-06,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
borase2023,2023-12-22,Journal,EPRA International Journal of Research and Development,2455-7838,Confirmed,NA,0,Full,80,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,1
bozic2024,2024-06-30,Journal,International Journal of Digital Health & Patient Care,3023-851X,Unreported record,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
buchroni2023,2023-05-07,Journal,JALADRI,2548-2106,Confirmed,NA,0,Full,200000,IDR,Dimensions,NA,NA,0,1,0,0,0,0,0,0
bukhari2024,2024-02-13,Journal,Remittances Review,2059-6588,Confirmed,NA,0,Full,800,USD,NA,NA,NA,0,0,1,0,0,0,0,0
castro2023,2023-08-01,Journal,Die Dermatologie,2731-7013,Confirmed,Springer,1,Hybrid,3290,USD,Dimensions; Embase; Medline; ProQuest; Scopus; Web of Science,NA,NA,1,0,0,0,0,1,0,0
catali2023,2023-06-20,Conference,Iberian Conference on Information Systems and Technologies,978-989-33-4792-8,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
chakraborty2023,2023-08-14,Journal,Journal for ReAttach Therapy and Developmental Diversities,2589-7799,Confirmed,NA,0,Full,879,USD,Scopus (discontinued); Dimensions,NA,NA,0,0,1,0,0,0,0,0
chandana2023,2023-07-21,Journal,Journal of Autonomous Intelligence,2630-5046,Confirmed,NA,0,Full,1500,USD,Scopus,NA,NA,0,0,1,0,0,0,0,0
chang2024,2024-01-01,Journal,IEEE Access,2169-3536,Confirmed,IEEE,1,Full,1995,USD,Scopus; Web of Science; Dimensions; DOAJ,NA,NA,0,0,1,0,0,0,0,0
charanbir2023,2023-12-05,Journal,Asian Journal of Engineering and Applied Technology,2249-068X,Confirmed,NA,0,Full,50,USD,NA,NA,NA,0,0,1,0,0,0,0,0
chatterjee2024,2024-07,Journal,International Journal of Current Science,2250-1770,Confirmed,NA,0,Full,55,USD,NA,NA,NA,1,0,0,0,0,1,0,1
chaudhary2023,2023-11,Journal,Anusandhan,2581-9968,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
chaudhary2024,2024-01-08,Journal,Cureus,2168-8184,Confirmed,Springer,1,Hybrid,1300,USD,PubMed Central; Web of Science,NA,NA,0,0,1,0,0,0,0,0
chotibuddin2023,2023-09-16,Journal,International Journal of Advanced Engineering and Management Research,2456-3676,Confirmed,NA,0,Full,75,USD,NA,NA,NA,1,0,0,0,0,1,0,0
choudhary2024,2024-02-09,Conference,"International Conference on Computing, Power and Communication Technologies",9798350383546,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0
chouhan2024,2024,Journal,World Journal of Pharmaceutical Research,2277-7105,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,0,1,0,0,0,0,0,0
chudasama2023,2023,Journal,Samvad E-Journal,2583-8334,Provisional,NA,0,Full,1000,INR,NA,NA,NA,0,0,1,0,0,0,0,0
conde2024,2024-03-13,Journal,Revista Jurídica Portucalense,2183-5705,Confirmed,NA,0,None,NA,NA,DOAJ; Scopus; Web of Science,NA,NA,1,0,0,0,0,1,0,0
dahiya2023,2023-09-15,Conference,"International Conference on Energy, Power, and Electrical Engineering",9798350318180,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0
dalal2022,2022-08-05,Journal,International Journal of Research Radicals in Multidisciplinary Fields,2960-043X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
dalili2023,2023-10-28,Journal,Science Set Journal of Medical and Clinical Case Studies,None,No ISSN,NA,0,Full,2619,USD,NA,NA,NA,0,0,1,0,0,0,0,0
damian2023,2023-07-26,Journal,"Global Scientific and Academic Research Journal of Economics, Business and Management",2583-5645,Provisional,NA,0,Full,50,USD,NA,NA,NA,1,0,0,0,0,1,0,1
das2024,2024,Journal,International Journal of Social Impact,2455-670X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0
davis2021,2021-07-07,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
devachand2023,2023-12-24,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
dhingra2023,2023-10,Journal,Plant Archives,0972-5210,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
dilora2023,2023-12-16,Journal,Uz-Conferences,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0
djalilov2023,2023-06-10,Journal,Bulletin of Students of New Uzbekistan,2181-449X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
doni2023,2023-12-07,Conference,International Conference on Emerging Research in Computational Science,9798350359763,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
doyah2024,2024-03-31,Journal,NIU Journal of Humanities,2415-0843,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0
dubey2022,2022-08,Journal,International Journal of Economic Perspectives,1307-1637,Confirmed,NA,0,Full,100,USD,Scopus (discontinued),NA,NA,1,0,0,0,1,1,1,1
dutta2023,2023-11-23,Conference,International Conference on Recent Advances in Science and Engineering Technology,9798350306927,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0
eghbalian2024,2024-02,Journal,International Journal of Urban Management and Energy Sustainability,2538-1636,Confirmed,NA,0,Full,15000000,IRR,NA,NA,NA,1,0,0,0,0,1,0,0
el-hermisy2021,2021-06-01,Journal,International Journal of Modern Agriculture and Environment,2974-4407,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,1,0,0,1,1,1,1,1
el-turkey2021,2021-06-01,Journal,International Journal of Modern Agriculture and Environment,2974-4407,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,1,0,0,1,1,1,1,1
elumalai2024,2024-06-15,Journal,International Journal of Research and Analysis in Commerce and Management,2583-6285,Provisional,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
erick2023,2023-12-19,Journal,EPH - International Journal of Science and Engineering,2454-2016,Confirmed,NA,0,Full,1500,USD,NA,NA,NA,0,0,1,0,0,0,0,0
ezzameli2023,2023-11-01,Journal,Information Fusion,1566-2535,Confirmed,Elsevier,1,Full,4600,USD,Web of Science; Scopus,"Stealth revision, Corrigendum",2024-05-01,0,1,0,0,0,0,0,0
fanosh2024,2024-02-29,Journal,Indonesian Journal of Innovation and Applied Sciences,2775-4162,Confirmed,NA,0,None,NA,NA,DOAJ; Dimensions,NA,NA,1,0,0,0,0,1,0,1
farag2023,2023-12-01,Journal,Geoenergy Science and Engineering,2949-8910,Confirmed,Elsevier,1,Hybrid,3530,USD,Web of Science; Scopus,NA,NA,1,0,0,0,0,1,0,0
fayzulloyevna2023,2023-12-08,Journal,Journal of Advanced Zoology,0253-7214,Confirmed,NA,0,Full,999,USD,Web of Science; Scopus (discontinued); Dimensions,NA,NA,0,0,0,1,1,1,1,0
fei2023,2023-05-12,Conference,IEEE Data Driven Control and Learning Systems Conference,9798350321050,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
feng2024,2024-03-26,Journal,Journal of Law and Sustainable Development,2764-4170,Confirmed,NA,0,Full,260,USD,Scopus (discontinued),NA,NA,0,0,1,0,0,0,1,0
feroze2023,2023-09-18,Journal,Maayan International Journal of Business and Management Studies,2584-1580,Provisional,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
feruza2024,2024-03-27,Journal,Holders of Reason,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
firdaus2023,2023-10-27,Journal,Audito Comparative Law Journal,2723-2476,Confirmed,NA,0,Full,500,IDR,DOAJ; Dimensions,NA,NA,0,0,1,0,0,0,0,0
francis2024,2024-02-19,Journal,Asian Journal of Multidisciplinary Research & Review,2582-8088,Provisional,NA,0,Full,50,USD,NA,NA,NA,1,0,0,0,0,1,0,0
gabor2024,2024-04-12,Journal,Advanced Logistic Systems,1789-2198,Confirmed,NA,0,None,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
gaikwad2024,2024,Journal,Journal of Technology,1012-3407,Refers to different journal,NA,0,Full,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0
galhotra2023,2023-09,Journal,Open Access Research Journal of Engineering and Technology,2783-0128,Confirmed,NA,0,Full,32,USD,NA,NA,NA,1,0,0,0,0,1,0,1
gang2016,2016-01-02,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
garcia2018,2018-05-21,Journal,International Journal of Transcontinental Discoveries,3006-628X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
gatell2024,2024-01-01,Journal,European Research on Management and Business Economics,2444-8834,Confirmed,Elsevier,1,Full,1350,USD,Web of Science; Scopus; DOAJ,NA,NA,1,0,0,0,0,0,0,0
gerilovych2024,2024-03-06,Journal,One Health Journal,2786-7439,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
ghazi2024,2024,Journal,Journal of Human Sport and Exercise,1988-5202,Confirmed,NA,0,Full,200,EUR,Scopus; Web of Science; DOAJ,NA,NA,1,0,0,0,0,1,0,1
ghazy2022,2022-12-01,Journal,International Journal of Advances Engineering and Civil Research,2974-4385,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,0,0,0,1,1,1,1,1
ghosh2023,2023-09-23,Journal,Brainwave,2582-659X,Confirmed,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
gosavi2023,2023-05-07,Journal,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",2456-3307,Confirmed,NA,0,Full,45,USD,Dimensions,NA,NA,0,0,0,1,0,1,1,0
goud2024,2024-01,Journal,International Journal of Multidisciplinary Engineering in Current Research,2456-4265,Confirmed,NA,0,Full,50,USD,NA,NA,NA,1,0,0,0,0,1,1,1
gowrigari2023,2023-09-03,Journal,International Journal of New Media Studies,2394-4331,Confirmed,NA,0,Full,70,USD,NA,NA,NA,1,0,0,0,0,1,0,0
guo2024,2024-02-13,Journal,Frontiers in Cell and Developmental Biology,2296-634X,Confirmed,Frontiers,1,Full,3495,USD,Web of Science; PubMed Central; Scopus; DOAJ,Retraction,2024-02-16,0,0,0,0,0,0,0,0
guo2024a,2024-04-01,Journal,International Journal of Applied Earth Observation and Geoinformation,1569-8432,Confirmed,Elsevier,1,Full,3020,USD,Scopus; DOAJ; Web of Science,NA,NA,0,0,1,0,0,0,0,0
guo2024b,2024-01-08,Journal,IET Image Processing,1751-9667,Confirmed,Wiley,1,Full,2610,USD,Web of Science; DOAJ; Scopus,NA,NA,0,0,1,0,0,0,0,0
gupta2021,2021-02-05,Journal,International Journal of New Media Studies,2394-4331,Confirmed,NA,0,Full,70,USD,NA,NA,NA,0,0,1,0,0,0,1,0
gupta2023,2023-12-23,Journal,International Journal of Innovative Science and Research Technology,2456-2165,Confirmed,NA,0,Full,50,USD,NA,NA,NA,1,0,0,0,0,1,0,0
gupta2023a,2023-04-30,Journal,European International Journal of Pedagogics,2751-000X,Confirmed,NA,0,Full,100,USD,NA,NA,NA,0,0,0,1,1,1,0,0
gupta2023b,2023-08-10,Journal,Rivista Italiana di Filosofia Analitica Junior,2037-4445,Refers to different journal,NA,0,Unknown,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
gupta2023c,2023-05-16,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
gupta2023d,2023-12-04,Conference,Conference of the Oriental COCOSDA International Committee for the Co-ordination and Standardisation of Speech Databases and Assessment Techniques,9798350344028,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
gupta2024,2024-05-09,Journal,Multidisciplinary Science Journal,2675-1240,Confirmed,NA,0,Full,500,USD,NA,NA,NA,0,0,1,0,0,0,1,0
h2023,2023-03,Journal,Seshadripuram Journal of Social Sciences,2581-6748,Confirmed,NA,0,None,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0
hadijah2023,2023-12-26,Journal,Islamic University Journal of Social Sciences,2709-2437,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
hameed2023,2023-08-16,Journal,International Journal of Research in Medical Sciences and Technology,2455-9059,Confirmed,NA,0,Full,120,USD,NA,NA,NA,0,0,1,0,0,0,0,0
haris2024,2024-03-20,Journal,Lingua,2442-238X,Confirmed,NA,0,Full,500000,IDR,DOAJ; Dimensions,NA,NA,1,0,0,0,0,1,0,0
hariyastuti2024,2024-01-31,Journal,Jurnal Pendidkan Dasar Nusantara,2579-6461,Confirmed,NA,0,Full,350000,IDR,DOAJ; Dimensions,NA,NA,1,0,0,0,0,1,0,0
harliantara2023,2023-10-25,Journal,Journal of Indonesian Social Science,2723-6692,Confirmed,NA,0,Full,389,USD,NA,NA,NA,1,0,0,0,0,1,0,1
hart2023,2023-08-25,Journal,Eurasian Journal of Humanities and Social Sciences,2795-7683,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
hasan2024,2024-01-17,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
hasan2024a,2024-01-01,Journal,European Journal of Theoretical and Applied Sciences,2786-7447,Confirmed,NA,0,Full,100,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,1
hashmi2024,2024-05-05,Journal,"Business, Management and Economics Engineering",2669-249X,Refers to different journal,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
hassan2024,2024-02-15,Journal,International Journal of Hydrogen Energy,0360-3199,Confirmed,Elsevier,1,Full,3400,USD,Web of Science; Scopus; Dimensions,NA,NA,1,0,0,0,0,1,0,0
hassen2023,2023-10-10,Journal,Medical & Clinical Research,2577-8005,Confirmed,NA,0,Full,3916,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
hemalika2023,2023-09-01,Journal,Journal of Medicinal Plants,2320-3862,Confirmed,NA,0,Full,55,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
hien2019,2019-06-30,Journal,External Economics Review,1859-4050,Confirmed,NA,0,Unknown,NA,NA,ProQuest,NA,NA,0,0,1,0,0,0,0,0
hsu2021,2021-08-21,Journal,International Journal of Business Management and Visuals,3006-2705,Confirmed,NA,0,Full,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
huang2023,2023-09-01,Journal,IEEE Transactions on Reliability,1558-1721,Confirmed,IEEE,1,Hybrid,2495,USD,Web of Science; Dimensions; Scopus,NA,NA,0,0,1,0,0,0,0,0
